id,code,name,reconcile,user_type_id/id,chart_template_id/id
ekec610326,610326,ALIMENTACION Y REFRIGERIOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610327,610327,SEGURIDAD Y VIGILANCIA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610328,610328,SERVICIOS DE LIMPIEZA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610329,610329,MANTENIMIENTO EQUIPO COMPUTO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610330,610330,GASTOS LEGALES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610331,610331,SERVICIOS CONTRATADOS A TERCEROS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610332,610332,OTROS GASTOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610333,610333,SUELDOS SALARIOS Y DEMAS REMUNERACIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610334,610334,HORAS EXTRA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610335,610335,BONIFICACIONES POR DESEMPE�O,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610336,610336,APORTE PATRONAL,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610337,610337,FONDOS DE RESERVA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610338,610338,DECIMO TERCER SUELDO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610339,610339,DECIMO CUARTO SUELDO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610340,610340,VACACIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610341,610341,DESPICO INTEMPESTIVO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610342,610342,DESAHUCIO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610343,610343,OTROS BENEFICIOS E INDEMNIZACIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610344,610344,SEGURO MEDICO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610345,610345,CAPACITACION,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610346,610346,UNIFORMES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610347,610347,ALIMENTACION,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610348,610348,OTROS GASTOS DE PLANES DE BENEFICIOS A EMPLEADOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610349,610349,ARRENDAMIENTO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610350,610350,COMISIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610351,610351,PROMOCION Y PUBLICIDAD,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec5202281808,610352,GND OTROS GASTOS NO DEDUCIBLES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520301,610353,INTERESES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520302,610354,COMISIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520303,610355,GASTOS DE FINANCIAMIENTO DE ACTIVOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
